@relation cocoon

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,14}


@data
54,0,0,1,0,1,0,0
171,0,928,1,0,160,0,14
146,0,0,1,0,103,0,14
104,0,674,7,2,52,19,0
103,0,1078,3,0,120,0,14
424,0,896,1,0,161,0,14
40,0,13,1,0,10,3,0
77,0,253,2,2,26,9,0
234,0,924,1,0,81,0,14
107,0,1132,1,0,117,0,14
84,0,607,1,0,63,28,14
23,0,726,15,11,56,27,14
31,0,0,1,0,54,0,14
67,0,0,1,0,116,0,14
281,0,1059,1,0,101,0,14
185,0,439,1,0,75,0,14
107,0,626,3,0,47,17,0
79,0,988,6,0,113,0,14
140,0,912,3,0,85,0,14
21,0,0,4,0,73,0,14
157,0,809,1,0,95,0,14
136,0,254,1,0,71,0,14
66,0,1055,3,0,115,0,14
135,0,0,4,0,112,0,14
168,0,0,6,0,124,0,14
76,0,727,1,0,86,0,14
25,0,820,2,0,90,0,14
301,0,528,1,0,83,0,14
151,0,0,1,0,20,2,14
32,0,959,1,0,102,0,14
42,0,722,12,2,54,22,0
238,0,327,1,0,83,0,14
19,0,422,10,0,78,22,14
59,0,223,2,0,68,0,14
160,0,328,3,0,21,5,0
74,0,1059,3,0,99,0,14
76,0,0,1,0,43,0,14
102,0,809,2,0,85,0,14
68,0,0,1,0,86,0,14
48,0,0,1,0,103,0,14
86,0,0,1,0,109,0,14
77,0,504,1,0,103,0,14
70,0,540,1,0,75,31,0
96,0,1021,1,0,107,0,14
19,0,13,1,0,12,4,0
63,0,368,5,0,88,0,14
96,0,0,1,0,103,0,14
67,0,924,2,0,101,0,14
66,0,420,6,0,91,0,14
52,0,707,1,0,54,24,0
47,6,13,2,1,13,4,0
159,0,897,1,0,163,0,14
49,0,0,3,0,111,0,14
98,0,564,4,1,50,10,14
85,0,414,1,0,60,0,14
89,0,804,3,2,51,24,14
99,0,1039,1,0,98,0,14
161,0,973,1,0,165,0,14
27,0,910,2,0,97,0,14
67,0,0,1,0,102,0,14
34,0,0,2,0,100,0,14
58,0,356,1,0,86,0,14
58,0,0,3,0,35,0,14
155,0,920,3,0,84,0,14
128,0,917,1,0,160,0,14
64,0,1062,1,0,120,0,14
44,0,0,1,0,84,0,14
49,0,0,4,0,103,0,14
23,0,0,4,0,125,0,14
255,0,509,1,0,63,20,0
42,0,0,1,0,112,0,14
81,0,265,14,4,107,11,14
28,0,955,6,0,150,0,14
44,0,12,1,0,13,3,14
441,0,960,9,0,80,0,14
16,0,552,1,0,104,0,14
176,0,0,1,0,102,0,14
155,0,547,5,0,88,30,0
98,0,63,1,0,6,2,0
123,0,0,1,0,34,0,14
245,0,922,9,0,160,0,14
429,0,998,1,0,104,0,14
91,0,892,2,0,95,0,14
17,0,695,5,0,49,18,14
22,0,66,1,0,12,6,14
111,0,2,1,0,84,0,14
29,0,247,2,0,66,0,14
15,0,0,8,0,68,0,14
390,0,583,2,0,54,16,14
50,0,0,11,0,127,0,14
38,0,0,2,0,125,0,14
39,0,254,1,0,69,0,14
127,0,534,4,1,44,12,0
497,0,871,1,0,100,0,14
42,0,1045,10,0,123,0,14
86,0,0,2,0,33,0,14
531,0,869,1,0,81,0,14
113,0,0,3,0,61,0,14
91,0,897,1,0,163,0,14
64,0,298,1,0,57,0,14
130,0,945,1,0,94,0,14
221,0,0,2,0,106,0,14
56,0,397,1,0,78,15,0
16,0,33,1,0,25,13,14
29,0,0,10,0,71,0,14
61,0,537,5,2,62,24,14
76,0,1099,3,0,123,0,14
33,0,456,5,0,82,0,14
74,0,0,1,0,32,0,14
54,0,964,5,0,163,0,14
4,0,0,1,0,54,0,14
44,0,0,1,0,6,1,14
90,0,721,1,0,53,23,14
6,0,10,1,1,7,1,14
25,0,60,3,0,25,7,14
68,0,0,1,0,44,0,14
105,0,0,1,0,101,0,14
144,0,2,4,0,84,0,14
63,0,501,13,6,46,19,0
62,0,0,4,0,35,0,14
79,0,939,2,0,169,0,14
20,0,0,7,0,53,0,14
605,0,349,1,0,82,0,14
18,0,0,4,0,111,0,14
164,0,904,1,0,162,0,14
103,0,925,1,0,82,0,14
189,0,0,1,0,104,0,14
97,0,159,6,3,24,10,14
159,0,13,3,0,12,4,0
15,0,0,3,0,107,0,14
39,17,372,2,0,99,6,14
20,0,366,1,0,84,0,14
211,0,0,3,0,104,0,14
102,0,0,1,0,19,0,14
65,0,422,11,0,79,22,14
75,0,0,2,0,34,0,14
128,0,966,2,0,102,0,14
40,0,0,1,0,36,0,14
68,0,337,1,0,82,0,14
71,0,0,5,0,109,0,14
369,0,571,1,0,79,0,14
28,0,0,2,0,107,0,14
49,0,926,1,0,169,0,14
165,0,885,1,0,95,0,14
39,0,1021,1,0,106,0,14
84,0,364,1,0,81,0,14
86,0,744,5,0,89,0,14
192,0,345,1,0,85,12,14
29,0,955,6,0,101,0,14
24,0,379,29,15,58,26,14
40,0,0,1,0,2,1,14
89,0,0,1,0,109,0,14
33,0,0,2,0,108,0,14
29,0,513,1,0,93,0,14
33,0,1033,2,0,85,0,14
111,0,1120,3,0,124,0,14
73,0,1080,3,0,119,0,14
33,0,0,2,0,120,0,14
47,0,426,13,0,82,22,0
37,0,918,2,0,93,0,14
141,0,0,1,0,44,0,14
88,0,532,1,0,99,49,14
155,0,0,1,0,55,0,14
158,0,504,1,0,105,0,14
201,0,0,1,0,126,0,14
87,0,793,4,2,56,26,14
52,0,0,3,0,100,0,14
72,0,243,1,0,63,0,14
210,0,968,2,0,98,0,14
65,0,0,1,0,94,0,14
28,0,0,2,1,6,1,14
112,0,643,1,0,94,33,14
33,0,422,6,0,75,22,14
46,0,675,8,3,51,20,0
127,0,446,1,0,45,20,14
20,0,888,20,0,133,0,14
18,0,0,4,0,115,0,14
19,0,0,2,0,111,0,14
221,0,1082,2,0,119,0,14
73,0,475,1,0,74,0,14
267,0,887,2,0,82,0,14
10,0,955,2,0,154,0,14
59,0,921,3,0,162,0,14
179,0,336,1,0,68,0,14
86,0,369,1,0,78,14,14
75,0,0,3,0,104,0,14
13,0,378,2,0,86,0,14
95,0,1039,1,0,114,0,14
91,0,0,2,0,56,0,14
43,0,339,1,0,78,0,14
97,0,625,1,0,76,0,14
53,0,0,2,0,106,0,14
1040,0,979,1,0,165,0,14
18,0,0,1,0,6,0,14
56,0,0,2,0,103,0,14
166,0,0,1,0,123,0,14
18,0,0,2,0,113,0,14
32,0,693,3,2,49,21,0
60,0,930,2,0,82,0,14
30,0,0,2,0,94,0,14
38,0,943,2,0,100,0,14
302,0,590,2,0,114,0,14
89,0,336,1,0,39,25,0
44,0,444,1,0,56,19,0
100,0,962,1,0,103,0,14
16,0,0,3,0,121,0,14
156,0,1126,1,0,125,0,14
85,0,424,1,0,82,0,14
161,0,588,1,0,86,32,0
21,0,0,2,0,95,0,14
25,0,11,2,0,22,8,14
17,0,76,2,0,27,12,14
15,0,0,2,0,85,0,14
274,0,1066,4,0,118,0,14
74,0,530,5,0,98,0,14
161,0,514,1,0,83,0,14
71,0,13,1,1,21,5,0
53,0,930,1,0,81,0,14
31,0,0,1,0,113,0,14
120,0,0,3,0,59,0,14
28,0,612,6,4,56,19,0
81,0,0,3,0,116,0,14
146,0,243,1,0,65,0,14
116,0,0,2,0,120,0,14
19,0,353,7,3,38,16,0
65,6,25,1,0,11,6,14
84,0,956,1,0,104,0,14
89,0,0,1,0,109,0,14
35,0,444,5,0,21,4,0
38,0,1126,2,0,123,0,14
32,0,42,4,2,25,12,0
306,0,556,6,1,93,31,14
34,0,0,1,0,98,0,14
21,0,354,2,0,78,0,14
119,0,108,1,0,85,0,14
665,0,420,2,0,83,0,14
230,0,109,2,0,24,13,14
494,0,1042,1,0,104,0,14
93,0,668,7,1,47,21,0
74,0,0,1,0,102,0,14
285,0,560,1,0,55,19,14
77,0,2,6,0,85,0,14
38,0,943,1,0,99,0,14
44,0,0,1,0,115,0,14
110,0,599,1,0,84,32,14
54,0,626,1,0,46,17,0
77,0,0,1,0,118,0,14
21,0,353,9,3,40,16,0
85,0,0,1,0,55,0,14
55,0,0,5,0,119,0,14
160,0,0,1,0,121,0,14
70,0,624,2,3,47,20,14
95,0,1106,1,0,124,0,14
95,0,0,2,0,54,0,14
55,0,1029,1,0,113,0,14
33,0,0,10,0,124,0,14
46,0,1057,1,0,115,0,14
102,0,0,1,0,51,0,14
27,0,534,4,2,61,24,0
123,0,319,1,0,51,0,14
109,0,917,1,0,102,0,14
68,0,261,1,0,108,11,14
30,0,0,2,0,123,0,14
127,0,353,6,3,32,13,0
27,0,265,5,0,73,0,14
172,0,270,4,0,64,0,14
90,0,0,1,0,49,0,14
56,0,950,1,0,106,0,14
155,0,500,2,0,62,21,0
55,0,0,1,0,119,0,14
26,0,1001,1,0,105,0,14
100,0,0,1,0,108,0,14
40,0,0,1,0,39,0,14
45,0,333,2,0,84,0,14
392,0,553,4,1,95,40,14
108,0,0,1,0,104,0,14
85,0,402,1,0,89,0,14
62,0,0,1,0,104,0,14
64,0,0,1,0,120,0,14
220,0,0,2,0,9,0,14
94,0,425,1,0,81,0,14
39,0,420,1,0,82,0,14
72,8,27,5,1,12,5,0
64,0,630,1,0,45,17,14
241,0,9,1,0,11,1,14
74,0,335,1,0,67,0,14
69,0,911,6,0,88,0,14
134,0,920,1,0,80,0,14
152,0,244,1,0,65,0,14
36,0,36,3,0,9,4,0
492,0,0,1,0,107,0,14
23,0,422,4,0,73,22,14
281,0,381,1,0,81,0,14
88,0,0,2,0,109,0,14
43,0,235,1,0,19,8,0
1372,0,691,1,0,93,0,14
39,0,0,3,0,12,1,14
86,0,549,4,0,103,0,14
52,0,0,2,0,117,0,14
65,0,1133,3,0,120,0,14
53,0,923,1,0,95,0,14
150,0,14,1,0,9,3,14
178,0,1062,1,0,121,0,14
33,0,500,3,1,45,18,0
23,0,887,1,0,80,0,14
145,0,0,1,0,91,0,14
105,0,818,7,0,89,0,14
18,0,1,1,0,5,1,14
59,0,76,3,0,25,12,14
58,0,356,2,0,57,27,14
82,0,0,2,1,15,2,14
123,0,0,2,0,117,0,14
49,8,27,4,1,10,5,14
91,0,951,1,0,96,0,14
31,0,12,4,1,15,4,0
71,0,577,1,0,105,0,14
61,0,951,1,0,161,0,14
49,0,0,8,0,110,0,14
19,0,316,5,0,69,0,14
81,0,502,2,0,88,24,0
162,0,0,1,0,35,0,14
84,0,431,2,0,97,0,14
74,0,0,3,0,100,0,14
44,0,189,1,0,34,10,0
113,0,0,2,0,3,0,0
33,0,1049,1,0,84,0,14
207,0,0,1,0,106,0,14
50,0,691,6,0,48,19,14
87,0,792,5,2,52,24,0
25,0,0,2,0,106,0,14
48,0,301,1,0,36,25,14
186,0,952,4,0,104,0,14
22,0,0,3,0,112,0,14
41,0,0,5,0,125,0,14
1218,0,295,1,0,62,0,14
329,0,246,2,0,65,0,14
81,0,0,2,0,99,0,14
33,0,466,1,0,85,0,14
54,0,0,3,0,64,0,14
66,0,525,1,0,42,15,0
57,0,225,1,0,17,6,14
159,0,536,3,0,110,0,14
31,0,457,23,2,89,24,14
23,0,0,2,0,113,0,14
56,0,354,1,0,68,0,14
248,0,0,2,0,88,0,14
374,0,21,1,0,27,13,14
36,0,0,2,0,111,0,14
11,0,949,5,0,112,0,14
14,0,567,5,0,114,0,14
43,0,993,1,0,163,0,14
87,0,538,2,1,94,38,0
146,0,0,5,0,48,0,14
179,0,897,1,0,163,0,14
13,0,1,3,0,6,0,14
37,0,496,2,0,44,17,0
281,0,0,2,0,85,0,14
27,0,1,1,0,7,0,14
97,0,519,3,0,88,28,0
13,0,339,2,0,85,0,14
166,0,597,1,0,89,31,14
123,0,0,2,0,107,0,14
65,0,253,4,0,66,0,14
16,0,623,2,0,39,15,0
60,0,495,2,0,89,0,14
47,0,663,2,0,80,0,14
43,0,337,1,0,82,0,14
86,0,1117,1,0,123,0,14
116,0,0,3,0,109,0,14
144,0,296,12,2,109,9,14
723,0,1041,1,0,116,0,14
24,0,887,46,0,159,0,14
72,0,536,1,0,103,0,14
38,0,0,3,0,110,0,14
684,0,0,1,0,88,0,14
22,0,966,1,0,103,0,14
25,0,725,3,0,86,0,14
41,0,0,1,0,116,0,14
70,0,504,1,0,87,24,14
54,0,544,2,0,105,50,14
72,0,961,7,0,158,0,14
32,0,0,3,0,34,0,14
144,0,0,1,0,124,0,14
116,0,965,1,0,165,0,14
48,0,577,12,0,108,0,14
215,0,0,3,0,65,0,14
197,0,580,1,0,106,0,14
80,0,999,5,0,102,0,14
25,0,623,15,4,62,29,14
20,0,530,7,0,100,0,14
73,0,0,1,0,106,0,14
175,0,925,1,0,167,0,14
18,0,353,8,3,39,16,0
76,0,569,9,3,56,19,14
148,0,0,3,0,7,0,14
288,0,532,3,0,53,14,0
59,0,0,1,0,105,0,14
40,0,0,9,0,66,0,14
184,0,0,1,0,106,0,14
237,0,583,2,0,105,0,14
23,0,570,2,0,109,0,14
19,0,0,1,0,111,0,14
67,0,536,2,0,105,0,14
473,0,0,1,0,5,0,14
74,0,0,1,0,34,0,14
106,0,0,1,0,9,0,14
28,0,0,1,0,45,0,14
40,0,20,3,2,23,10,0
70,0,0,1,0,112,0,14
79,0,514,7,1,86,23,0
320,0,341,1,0,109,8,14
149,0,1100,2,0,122,0,14
63,0,504,4,0,106,0,14
218,0,0,1,0,114,0,14
21,0,575,2,0,110,0,14
44,0,24,1,0,9,3,0
96,0,0,1,0,113,0,14
72,0,373,1,0,94,6,14
33,0,1,4,0,10,1,14
6,0,0,4,0,22,0,14
100,0,254,1,0,70,0,14
59,0,382,1,0,78,0,14
73,0,0,1,0,78,0,14
23,0,81,1,0,85,0,14
103,0,1035,1,0,115,0,14
418,0,0,1,0,90,0,14
124,0,1023,1,0,100,0,14
106,0,0,1,0,106,0,14
195,0,0,1,0,33,0,14
143,0,486,3,0,89,27,14
39,0,0,1,0,113,0,14
53,0,631,5,1,49,18,14
83,0,0,3,0,127,0,14
71,0,0,2,0,101,0,14
37,0,0,4,0,117,0,14
106,0,113,1,0,86,0,14
22,0,897,1,0,162,0,14
71,0,713,1,0,56,25,0
19,0,10,2,1,19,7,14
132,0,0,2,0,108,0,14
71,0,0,9,0,123,0,14
150,0,0,1,0,103,0,14
25,0,450,2,0,74,0,14
61,0,0,1,0,93,0,14
102,0,433,1,0,70,0,14
42,0,951,1,0,91,0,14
10,0,963,1,0,159,0,14
64,0,0,1,0,31,0,14
31,0,0,1,0,50,0,14
94,0,1029,2,0,114,0,14
18,0,0,1,0,110,0,14
165,0,563,3,0,114,0,14
87,0,0,1,0,93,0,14
15,0,301,2,1,37,25,14
20,0,1022,3,0,104,0,14
153,0,604,9,3,88,31,0
4251,0,945,1,0,92,0,14
70,0,736,1,0,82,0,14
28,0,312,3,0,51,0,14
293,0,0,2,0,105,0,14
121,0,0,2,0,104,0,14
57,0,645,4,0,80,0,14
26,0,435,1,0,97,0,14
9,0,10,2,1,10,3,0
175,0,0,2,0,105,0,14
54,0,553,1,0,89,31,14
16,0,1115,3,0,123,0,14
16,0,0,1,0,114,0,14
