@relation hadoop

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,30}


@data
11,0,580,14,0,804,10,0
9,0,776,6,0,871,25,0
2,0,841,1,0,907,26,30
5,0,684,1,0,792,7,0
12,20,593,1,0,788,9,0
4,0,683,1,0,765,1,30
30,25,676,9,2,790,6,0
16,0,765,1,0,873,26,0
2,0,915,1,0,845,189,30
3,0,587,1,0,763,7,0
10,65,776,1,0,840,1,0
20,0,675,1,0,813,4,0
29,0,836,1,0,1016,144,0
13,25,659,4,0,791,4,0
55,15,560,1,0,670,15,0
7,0,922,1,0,1010,34,0
1,0,1424,1,0,1043,23,0
2,0,583,1,0,678,14,0
8,0,647,1,0,782,6,0
1,0,560,1,0,702,10,0
2,0,558,1,0,669,15,0
13,21,595,2,0,802,9,0
66,24,655,2,0,798,4,30
4,0,931,1,0,1055,38,0
1,0,595,1,0,736,5,0
12,0,1117,2,1,962,8,0
98,0,1002,1,0,1081,49,30
32,0,1418,1,0,1009,24,0
6,21,603,13,3,724,8,0
11,0,996,10,7,935,9,0
16,22,600,4,1,804,9,0
9,0,682,1,0,786,8,0
12,25,659,5,0,791,4,0
3,0,965,20,17,1091,22,30
6,16,590,2,1,710,11,0
1,33,773,1,0,860,25,0
7,0,559,1,0,676,14,0
12,0,1117,1,0,961,7,0
4,0,858,13,0,672,7,30
22,0,974,4,1,751,6,30
104,0,1104,2,0,937,96,30
18,0,560,21,1,708,0,30
55,0,976,24,21,1089,30,30
31,0,0,7,0,323,19,30
56,0,1538,23,7,1196,78,30
25,0,0,17,1,388,60,30
215,0,0,18,0,509,8,30
25,0,0,13,3,628,47,30
40,0,0,34,6,363,33,30
41,0,806,3,0,828,131,30
36,0,0,2,0,578,56,0
104,0,0,5,0,591,25,30
65,0,554,15,0,691,0,30
41,0,0,8,0,41,0,30
24,0,0,15,1,551,7,30
26,0,775,93,1,805,4,30
237,0,984,1,0,747,7,30
13,0,568,27,0,645,0,30
94,0,0,5,0,572,39,30
27,0,804,15,30,828,134,30
39,0,1350,2,1,766,2,30
